"MUNICÍPIO","ZONA","CÓDIGO DO INEP","UNIDADE ESCOLAR","TIPO"
"Aquidauana","URBANA","50082817","IFMS - CAMPUS AQUIDAUANA","FEDERAL"
"Campo Grande","URBANA","50005499","COLEGIO MILITAR DE CAMPO GRANDE","FEDERAL"
"Campo Grande","URBANA","50082825","IFMS - CAMPUS CAMPO GRANDE","FEDERAL"
"Corumbá","URBANA","50082833","IFMS - CAMPUS CORUMBA","FEDERAL"
"Coxim","URBANA","50082841","IFMS - CAMPUS COXIM","FEDERAL"
"Dourados","URBANA","50033115","IFMS - CAMPUS DOURADOS","FEDERAL"
"Jardim","URBANA","50033182","IFMS - CAMPUS JARDIM","FEDERAL"
"Naviraí","URBANA","50033212","IFMS - CAMPUS NAVIRAI","FEDERAL"
"Nova Andradina","RURAL","50072900","IFMS - CAMPUS NOVA ANDRADINA","FEDERAL"
"Ponta Porã","RURAL","50082850","IFMS - CAMPUS PONTA PORA","FEDERAL"
"Três Lagoas","URBANA","50082868","IFMS - CAMPUS TRES LAGOAS","FEDERAL"
"Água Clara","URBANA","50027395","EE CHICO MENDES","ESTADUAL"
"Água Clara","URBANA","50011774","EE MAL CASTELO BRANCO","ESTADUAL"
"Alcinópolis","URBANA","50002961","EE PROFª ROMILDA COSTA CARNEIRO","ESTADUAL"
"Amambai","URBANA","50015249","EE CEL FELIPE DE BRUM","ESTADUAL"
"Amambai","URBANA","50015257","EE DOM AQUINO CORREA","ESTADUAL"
"Amambai","URBANA","50015168","EE DR FERNANDO CORREA DA COSTA","ESTADUAL"
"Amambai","RURAL","50030370","EE INDIGENA MBO EROY GUARANI KAIOWA","ESTADUAL"
"Amambai","URBANA","50015176","EE VESPASIANO MARTINS","ESTADUAL"
"Anastácio","URBANA","50001086","EE CARLOS DRUMMOND DE ANDRADE","ESTADUAL"
"Anastácio","URBANA","50001094","EE DEP CARLOS SOUZA MEDEIROS","ESTADUAL"
"Anastácio","URBANA","50029819","EE INDIGENA GUILHERMINA DA SILVA","ESTADUAL"
