MUNICÍPIO,ESCOLA,LOCALIZAÇÃO,CÓDIGO DO INEP,TIPO,
Água Clara,CENTRO DE EDUC ESPECIAL GENTE FELIZ,URBANA,50027697,PARTICULAR,
Água Clara,CENTRO DE EDUCACAO ASQ,URBANA,50029126,PARTICULAR,
Água Clara,INSTITUTO EDUCACIONAL CECILIA MEIRELES,URBANA,50034421,PARTICULAR,
Alcinópolis,CENTRO DE EDUCACAO ESPECIAL DE ALCINOPOLIS - CEDEAL,URBANA,50029690,PARTICULAR,
Amambai,COLEGIO CELQ,URBANA,50015095,PARTICULAR,
Amambai,ESCOLA ESPECIAL RENASCER,URBANA,50015109,PARTICULAR,
Amambai,ESCOLA INFANTIL TUPA SY,RURAL,50031171,PARTICULAR,
Anastácio,CAOECS- CENTRO DE APOIO E ORIENTACAO ESPECIALIZADO CAMINHOS DO SABER- APAE ANASTACIO,URBANA,50052802,PARTICULAR,
Anastácio,INSTITUTO EDUCACIONAL DE ANASTACIO,URBANA,50001515,PARTICULAR,
Anaurilândia,CAEE - CAMINHO DA ESPERANCA,URBANA,50032380,PARTICULAR,
Anaurilândia,ESCOLA DE EDUC ESP CAMINHO DA ESPERANCA,URBANA,50024639,PARTICULAR,
Angélica,CENTRO DE EDUCACAO ESPECIAL VALQUIRIA ARRUDA DA SILVA,URBANA,50023993,PARTICULAR,
Antônio João,CENTRO DE EDUCACAO ESPECIAL SEMENTE DE LUZ - APAE,URBANA,50030914,PARTICULAR,
Aparecida do Taboado,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DE APARECIDA DO TABOADO - MS,URBANA,50034588,PARTICULAR,
Aparecida do Taboado,CENTRO EDUC DE APARECIDA DO TABOADO - APAE,URBANA,50011006,PARTICULAR,
Aparecida do Taboado,CENTRO INTEGRADO SESI - SENAI APARECIDA DO TABOADO,URBANA,50032690,PARTICULAR,
Aparecida do Taboado,ESCOLA DO SESI APARECIDA DO TABOADO,URBANA,50032941,PARTICULAR,
Aparecida do Taboado,ESCOLA RECANTO,URBANA,50027689,PARTICULAR,
Aquidauana,CAEE -MARISA SCAFF,URBANA,50032321,PARTICULAR,
Aquidauana,CCE - CENTRO CRISTAO DE ENSINO EI EF,URBANA,50029762,PARTICULAR,
Aquidauana,COLEGIO DOM AQUINO,URBANA,50001558,PARTICULAR,
Aquidauana,ESCOLA ESPECIALIZADA MUNDO FELIZ,URBANA,50001566,PARTICULAR,
Aquidauana,ESCOLA EVANGELICA LOURENCO BUCKMAN,URBANA,50002040,PARTICULAR,
Aquidauana,ESCOLA PARTICULAR IRENE CICALISE,URBANA,50001744,PARTICULAR,
Aquidauana,INSTITUTO EDUCACIONAL FALCAO,URBANA,50001850,PARTICULAR,
Aral Moreira,CENTRO DE ATENDIMENTO ESPECIAL LUZ E VIDA - APAE,URBANA,50082914,PARTICULAR,
Bandeirantes,CEEB - CENTRO DE EDUCACAO ESPECIAL BANDEIRANTES HERICLEIA PEREIRA DE SOUZA,URBANA,50023730,PARTICULAR,
Bandeirantes,EPE CATARINA FURTADO DE SOUZA,URBANA,50021885,PARTICULAR,
Bandeirantes,ESCOLA CONSTRUINDO O SABER,URBANA,50033530,PARTICULAR,
Bataguassu,CEI - IRMA PURA PAGANI,URBANA,50056808,PARTICULAR,
Bataguassu,CENTRO EDUCACIONAL JUVENTUDE DO AMANHA,URBANA,50013017,PARTICULAR,
Bataguassu,ESCOLA DE EDUCACAO ESPECIAL PROF JOSE DOMINGOS CHIONHA,URBANA,50021931,PARTICULAR,
Bataguassu,IIEB - INST IDEAL DE ENSINO DE BATAGUASSU,URBANA,50032038,PARTICULAR,
Batayporã,ESCOLA DE EDUCACAO ESPECIAL LUZ DO AMANHA,URBANA,50029720,PARTICULAR,
Bela Vista,CENTRO DE EDUCACAO ESPECIAL RIO APA,URBANA,50021877,PARTICULAR,
Bela Vista,COLEGIO CEFRON,URBANA,50029525,PARTICULAR,
Bela Vista,COLEGIO CEFRON UNID II,URBANA,50013831,PARTICULAR,
Bela Vista,COLEGIO LOUREIRO,URBANA,50030299,PARTICULAR,
Bela Vista,CRECHE SARA NOSSA TERRA,URBANA,50030817,PARTICULAR,
Bela Vista,INSTITUTO DE EDUCACAO DE BELA VISTA,URBANA,50014056,PARTICULAR,
Bodoquena,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DE BODOQUENA-CAEEB,URBANA,50033980,PARTICULAR,
Bonito,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO TECENDO SONHOS,URBANA,50033093,PARTICULAR,
Bonito,COLEGIO HONORATO JACQUES,URBANA,50028839,PARTICULAR,
Bonito,EPEPG SAGRADA FAMILIA,URBANA,50014285,PARTICULAR,
Bonito,ESC ESP CAMINHO DA ESPERANCA - PESTALOZZI,URBANA,50014340,PARTICULAR,
Bonito,ESCOLA INFANTIL NOVA GERACAO,URBANA,50034294,PARTICULAR,
Bonito,RENOVO INSTITUTO EDUCACIONAL,URBANA,50030302,PARTICULAR,
Brasilândia,ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS FLORECER,URBANA,50025031,PARTICULAR,
Caarapó,CENTRO EDUCACIONAL A CORUJINHA,URBANA,50033077,PARTICULAR,
Caarapó,CENTRO EDUCACIONAL E DE RECREACAO INFANTIL MUNDO ENCANTADO-ME,URBANA,50034324,PARTICULAR,
Caarapó,ESCOLA DE EDUCACAO ESPECIAL JULIO CESAR NOBRE,URBANA,50021974,PARTICULAR,
Caarapó,ESCOLA SAO VICENTE,URBANA,50023985,PARTICULAR,
Camapuã,CENTRO DE EDUCACAO ESPECIAL DE CAMAPUA - MS,URBANA,50003070,PARTICULAR,
Camapuã,COLEGIO MONTEIRO LOBATO,URBANA,50003399,PARTICULAR,
Camapuã,CRECHE MENINO JESUS - ASSOCIACAO DE AMPARO AS CRIANCAS DE CAMAPUA,URBANA,50024388,PARTICULAR,
Campo Grande,AMA - ASSOCIACAO DE PAIS E AMIGOS DO AUTISTA,URBANA,50022962,PARTICULAR,
Campo Grande,ASEADEM- ASSOCIACAO ESPECIAL DE ATENDIMENTO AO DEFICIENTE MENTAL,URBANA,50022938,PARTICULAR,
Campo Grande,ASSOC ESP DE APOIO A CRIANCA E AO ADOLESCENTE,URBANA,50028022,PARTICULAR,
Campo Grande,ASSOCIACAO CAMILLE FLAMMARION,URBANA,50023136,PARTICULAR,
Campo Grande,ASSOCIACAO CLUBE DE MAES CANTINHO DA AMIZADE,URBANA,50028499,PARTICULAR,
Campo Grande,ASSOCIACAO EDUCACIONAL ESPIRITA CASA DA CRIANCA,URBANA,50026356,PARTICULAR,
Campo Grande,ASSOCIACAO ESCOLA CLINICA SANTA TEREZINHA,URBANA,50022903,PARTICULAR,
Campo Grande,ASSOCIACAO EVANGELICA DE PROTECAO A CRIANCAS,URBANA,50023217,PARTICULAR,
Campo Grande,ASSOCIACAO FILANTROPICA ACACIA MORENA,URBANA,50009206,PARTICULAR,
Campo Grande,ASSOCIACAO TAGARELA,URBANA,50032640,PARTICULAR,
Campo Grande,ASSUPERO - ASSOCIACAO UNIFICADA PAULISTA DE ENSINO RENOVADO OBJETIVO,URBANA,50032704,PARTICULAR,
Campo Grande,ATIVA IDADE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,URBANA,50005049,PARTICULAR,
Campo Grande,BERCARIO PAULO FREIRE,URBANA,50034286,PARTICULAR,
Campo Grande,C EDUCACIONAL LATINO AMERICANO,URBANA,50031716,PARTICULAR,
Campo Grande,CAEE - GIRASSOL,URBANA,50032470,PARTICULAR,
Campo Grande,CAEE - PESTALOZZI CAMPO GRANDE,URBANA,50032399,PARTICULAR,
Campo Grande,CAIRA - CENTRO ARCO IRIS DE REABILITACAO ALTERNATIVA,URBANA,50022970,PARTICULAR,
Campo Grande,CASA DE MARIA,URBANA,50034472,PARTICULAR,
Campo Grande,CEC-COLEGIO EVANGELICO CAMPO-GRANDENSE,URBANA,50030485,PARTICULAR,
Campo Grande,CEDAE - C ESP NO DESENV E ACOMP ESCOLAR,URBANA,50005154,PARTICULAR,
Campo Grande,CEFAM-CENTRO EDUCACIONAL FELIPE AUGUSTO MARTINS,URBANA,50028812,PARTICULAR,
Campo Grande,CEGRAN - CENTRO DE ENSINO CAMPOGRANDENSE,URBANA,50005162,PARTICULAR,
Campo Grande,CEI - FLAMINGOS,URBANA,50023381,PARTICULAR,
Campo Grande,CEI - JOAO PAULO II,URBANA,50023233,PARTICULAR,
Campo Grande,CEI - MARIA APARECIDA MORAES DAVILA - SANTA CASA,URBANA,50005596,PARTICULAR,
Campo Grande,CEI - MORADA DO SOL,URBANA,50043803,PARTICULAR,
Campo Grande,CEI - NOVA ESPERANCA,URBANA,50043609,PARTICULAR,
Campo Grande,CEI - PEQUENO PRINCIPE,URBANA,50023330,PARTICULAR,
Campo Grande,CEIAN- ANANDAMOYI,URBANA,50031465,PARTICULAR,
Campo Grande,CEINF - PARAISO DA CRIANCA E CE FENNIX,URBANA,50005103,PARTICULAR,
Campo Grande,CEMAR - CENTRO EDUCACIONAL MARECHAL RONDON,URBANA,50033492,PARTICULAR,
Campo Grande,CENTEC CURSOS TECNICOS LTDA-ME,URBANA,50033484,PARTICULAR,
Campo Grande,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO O CASULO,URBANA,50033972,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO ESPECIAL GIRASSOL,URBANA,50005189,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO INFANTIL GIRASSOL,URBANA,50026003,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO INFANTIL RISCOS E RABISCOS,URBANA,50060821,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO INFANTIL SAO DOMINGOS SAVIO,URBANA,50030310,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO INFANTIL SOSSEGO DA MAMAE,URBANA,50028871,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO INFANTIL VO INEZ,URBANA,50027905,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO INTEGRADA LTDA,URBANA,50028847,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO PROFISSIONAL - SENAC CAMPO GRANDE,URBANA,50028537,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO PROFISSIONAL - SENAC EDUARDO ELIAS ZAHRAN,URBANA,50032933,PARTICULAR,
Campo Grande,CENTRO DE EDUCACAO PROFISSIONAL-SENAC TURISMO E GASTRONOMIA,URBANA,50034383,PARTICULAR,
Campo Grande,CENTRO DE ENS NOSSA SENHORA AUXILIADORA,URBANA,50007874,PARTICULAR,
Campo Grande,CENTRO DE ENSINO CAMPO-GRANDENSE - CECAMP,URBANA,50007688,PARTICULAR,
Campo Grande,CENTRO DE ENSINO IMPACTO SS LTDA - ME,URBANA,50029258,PARTICULAR,
Campo Grande,CENTRO DE ESTUDOS ASES DA EDUCACAO LTDA,URBANA,50034499,PARTICULAR,
Campo Grande,CENTRO DE EXCELENCIA EM BOVINOCULTURA DE CORTE,URBANA,50034570,PARTICULAR,
Campo Grande,CENTRO DESENV DO POTENCIAL HUMANO RAIO DE LUZ,URBANA,50005286,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL ALCEU VIANA,URBANA,50024353,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL CONSTRUINDO O SABER,URBANA,50026402,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL JEAN PIAGET,URBANA,50033883,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL LAPIS DE COR,URBANA,50029282,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL MANOEL DE BARROS,URBANA,50035800,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL MULTIPLA ESCOLHA,URBANA,50031198,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL PADRAO,URBANA,50005090,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL PAULO DE TARSO,URBANA,50027190,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL SECULO XX,URBANA,50027972,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL SUPERACAO,URBANA,50027204,PARTICULAR,
Campo Grande,CENTRO EDUCACIONAL UCDC,URBANA,50031228,PARTICULAR,
Campo Grande,CETEP PREMIER,URBANA,50031376,PARTICULAR,
Campo Grande,CETEPS - CENTRO DE TECNOLOGIA E DE EDUCACAO PROFISSIONAL,URBANA,50033638,PARTICULAR,
Campo Grande,CNEC - ESCOLA CENECISTA OLIVA ENCISO,URBANA,50005367,PARTICULAR,
Campo Grande,COLEGIO ABC DE EIEF,URBANA,50007467,PARTICULAR,
Campo Grande,COLEGIO ADVENTISTA CAMPO-GRANDENSE,URBANA,50005626,PARTICULAR,
Campo Grande,COLEGIO ADVENTISTA JARDIM DOS ESTADOS,URBANA,50005618,PARTICULAR,
Campo Grande,COLEGIO ALBERTO BETTENCOURT,URBANA,50007475,PARTICULAR,
Campo Grande,COLEGIO ALEXANDER FLEMING,URBANA,50005405,PARTICULAR,
Campo Grande,COLEGIO ALMIRANTE TAMANDARE,URBANA,50007718,PARTICULAR,
Campo Grande,COLEGIO ALMIRANTE TAMANDARE - CCAT BABY,URBANA,50034480,PARTICULAR,
Campo Grande,COLEGIO AMBIENTAL,URBANA,50025767,PARTICULAR,
Campo Grande,COLEGIO ATENAS,URBANA,50007521,PARTICULAR,
Campo Grande,COLEGIO BALAO MAGICO,URBANA,50007530,PARTICULAR,
Campo Grande,COLEGIO BIONATUS,URBANA,50030582,PARTICULAR,
